phase,scenario,model,train_lang,test_lang,split,accuracy,precision_macro,recall_macro,f1_macro,f1_Not Hate,f1_Neutral,f1_Hate,train_time_sec,n_train,shots,precision_Not Hate,recall_Not Hate,precision_Neutral,recall_Neutral,precision_Hate,recall_Hate,pr_auc_Not Hate,pr_auc_Neutral,pr_auc_Hate,pr_auc_macro,n_seeds
phase4,few_shot,mbert,English+50Hausa,Hausa,test,0.4637 ± 0.0000,0.5006 ± 0.0000,0.4505 ± 0.0000,0.4239 ± 0.0000,0.5698 ± 0.0000,0.3519 ± 0.0000,0.3499 ± 0.0000,220.5000 ± 0.0000,4698.0000 ± 0.0000,50.0000 ± 0.0000,,,,,,,,,,,0
phase4,few_shot,mbert,English+50Igbo,Igbo,test,0.4675 ± 0.0000,0.5015 ± 0.0000,0.4560 ± 0.0000,0.4423 ± 0.0000,0.5544 ± 0.0000,0.3887 ± 0.0000,0.3838 ± 0.0000,181.3000 ± 0.0000,4698.0000 ± 0.0000,50.0000 ± 0.0000,,,,,,,,,,,0
phase4,few_shot,mbert,English+50Yoruba,Yoruba,test,0.4751 ± 0.0000,0.5010 ± 0.0000,0.4850 ± 0.0000,0.4570 ± 0.0000,0.4700 ± 0.0000,0.3483 ± 0.0000,0.5527 ± 0.0000,142.8000 ± 0.0000,4698.0000 ± 0.0000,50.0000 ± 0.0000,,,,,,,,,,,0
phase4,few_shot,xlmr,English+100Hausa,Hausa,test,0.4924 ± 0.0000,0.5194 ± 0.0000,0.4835 ± 0.0000,0.4646 ± 0.0000,0.5780 ± 0.0000,0.3288 ± 0.0000,0.4869 ± 0.0000,238.3000 ± 0.0000,4748.0000 ± 0.0000,100.0000 ± 0.0000,,,,,,,,,,,0
phase4,few_shot,xlmr,English+100Igbo,Igbo,test,0.4819 ± 0.0000,0.5092 ± 0.0000,0.4722 ± 0.0000,0.4653 ± 0.0000,0.5517 ± 0.0000,0.4346 ± 0.0000,0.4098 ± 0.0000,247.9000 ± 0.0000,4748.0000 ± 0.0000,100.0000 ± 0.0000,,,,,,,,,,,0
phase4,few_shot,xlmr,English+100Yoruba,Yoruba,test,0.4388 ± 0.0000,0.4657 ± 0.0000,0.4502 ± 0.0000,0.4199 ± 0.0000,0.4006 ± 0.0000,0.3306 ± 0.0000,0.5285 ± 0.0000,242.9000 ± 0.0000,4748.0000 ± 0.0000,100.0000 ± 0.0000,,,,,,,,,,,0
phase4,few_shot,xlmr,English+500Hausa,Hausa,test,0.5628 ± 0.0000,0.5638 ± 0.0000,0.5605 ± 0.0000,0.5591 ± 0.0000,0.6035 ± 0.0000,0.4982 ± 0.0000,0.5757 ± 0.0000,259.1000 ± 0.0000,5148.0000 ± 0.0000,500.0000 ± 0.0000,,,,,,,,,,,0
phase4,few_shot,xlmr,English+500Igbo,Igbo,test,0.5023 ± 0.0000,0.5018 ± 0.0000,0.5065 ± 0.0000,0.4939 ± 0.0000,0.5364 ± 0.0000,0.3851 ± 0.0000,0.5602 ± 0.0000,284.4000 ± 0.0000,5148.0000 ± 0.0000,500.0000 ± 0.0000,,,,,,,,,,,0
phase4,few_shot,xlmr,English+500Yoruba,Yoruba,test,0.4486 ± 0.0000,0.4743 ± 0.0000,0.4603 ± 0.0000,0.4315 ± 0.0000,0.3910 ± 0.0000,0.3613 ± 0.0000,0.5422 ± 0.0000,304.9000 ± 0.0000,5148.0000 ± 0.0000,500.0000 ± 0.0000,,,,,,,,,,,0
phase4,few_shot,xlmr,English+50Hausa,Hausa,test,0.4909 ± 0.0000,0.5330 ± 0.0000,0.4801 ± 0.0000,0.4540 ± 0.0000,0.5857 ± 0.0000,0.3204 ± 0.0000,0.4558 ± 0.0000,241.9000 ± 0.0000,4698.0000 ± 0.0000,50.0000 ± 0.0000,,,,,,,,,,,0
