phase,scenario,model,train_lang,test_lang,split,accuracy,precision_macro,recall_macro,f1_macro,f1_Not Hate,f1_Neutral,f1_Hate,train_time_sec,n_train,shots,precision_Not Hate,recall_Not Hate,precision_Neutral,recall_Neutral,precision_Hate,recall_Hate,pr_auc_Not Hate,pr_auc_Neutral,pr_auc_Hate,pr_auc_macro,n_seeds
phase4,monolingual,afroxlmr,Yoruba,Yoruba,test,0.5574,0.5613,0.561,0.5568,0.5651,0.5155,0.5898,300.7,4633.0,,,,,,,,,,,,0
phase4,monolingual,mbert,English,English,test,0.7208,0.72,0.7225,0.7193,0.7532,0.6572,0.7475,145.7,4648.0,,,,,,,,,,,,0
phase4,monolingual,mbert,Hausa,Hausa,test,0.5734,0.5734,0.5743,0.5735,0.588,0.5401,0.5924,254.8,4628.0,,,,,,,,,,,,0
phase4,monolingual,mbert,Igbo,Igbo,test,0.5544,0.5596,0.5577,0.5546,0.56,0.5243,0.5794,246.2,4622.0,,,,,,,,,,,,0
phase4,monolingual,mbert,Yoruba,Yoruba,test,0.5672,0.5722,0.5704,0.5667,0.59,0.5185,0.5915,348.5,4633.0,,,,,,,,,,,,0
phase4,monolingual,xlmr,English,English,test,0.7389,0.7399,0.7401,0.7365,0.7846,0.678,0.7467,184.2,4648.0,,,,,,,,,,,,0
phase4,monolingual,xlmr,Hausa,Hausa,test,0.5454,0.5498,0.5486,0.5447,0.5534,0.5117,0.5691,344.3,4628.0,,,,,,,,,,,,0
phase4,monolingual,xlmr,Igbo,Igbo,test,0.5302,0.5418,0.5341,0.5296,0.5456,0.4995,0.5439,399.05,4622.0,,,,,,,,,,,,0
phase4,monolingual,xlmr,Yoruba,Yoruba,test,0.4875,0.4822,0.4904,0.4678,0.5351,0.322,0.5462,468.85,4633.0,,,,,,,,,,,,0
phase4,multilingual_joint,afroxlmr,all,English,test,0.754,0.7554,0.7562,0.7537,0.7791,0.7109,0.771,,,,,,,,,,,,,,0
phase4,multilingual_joint,afroxlmr,all,Hausa,test,0.6694,0.6684,0.6688,0.6686,0.7029,0.637,0.6659,,,,,,,,,,,,,,0
phase4,multilingual_joint,afroxlmr,all,Igbo,test,0.6284,0.63,0.6293,0.6293,0.6427,0.589,0.6561,,,,,,,,,,,,,,0
phase4,multilingual_joint,afroxlmr,all,Yoruba,test,0.574,0.5771,0.5759,0.5748,0.6032,0.5143,0.607,,,,,,,,,,,,,,0
phase4,multilingual_joint,afroxlmr,all,all,test,0.6565,0.6571,0.6576,0.6567,0.6824,0.6117,0.6759,1227.0,18531.0,,,,,,,,,,,,0
phase4,multilingual_joint,mbert,all,English,test,0.7306,0.7302,0.7324,0.7298,0.7487,0.6855,0.7551,,,,,,,,,,,,,,0
phase4,multilingual_joint,mbert,all,Hausa,test,0.593,0.5932,0.5942,0.5925,0.6154,0.5581,0.6041,,,,,,,,,,,,,,0
phase4,multilingual_joint,mbert,all,Igbo,test,0.5891,0.5875,0.5906,0.5879,0.6242,0.5152,0.6244,,,,,,,,,,,,,,0
phase4,multilingual_joint,mbert,all,Yoruba,test,0.571,0.5706,0.5725,0.5706,0.5987,0.5103,0.6028,,,,,,,,,,,,,,0
phase4,multilingual_joint,mbert,all,all,test,0.6211,0.6203,0.6225,0.6203,0.6473,0.5669,0.6468,1126.4,18531.0,,,,,,,,,,,,0
phase4,multilingual_joint,xlmr,all,English,test,0.4658,0.425,0.4611,0.3935,0.5869,0.0795,0.5142,,,,,,,,,,,,,,0
phase4,multilingual_joint,xlmr,all,Hausa,test,0.4501,0.4106,0.4467,0.3851,0.565,0.0897,0.5005,,,,,,,,,,,,,,0
phase4,multilingual_joint,xlmr,all,Igbo,test,0.4418,0.4213,0.4413,0.3799,0.5533,0.0949,0.4917,,,,,,,,,,,,,,0
phase4,multilingual_joint,xlmr,all,Yoruba,test,0.4335,0.3849,0.4329,0.3703,0.5464,0.0742,0.4902,,,,,,,,,,,,,,0
phase4,multilingual_joint,xlmr,all,all,test,0.4478,0.4092,0.4455,0.3823,0.5635,0.0846,0.4987,1414.9,18531.0,,,,,,,,,,,,0
phase4,translation_impact,afroxlmr,English,English,test_shared,0.762,0.7621,0.7626,0.7608,0.7991,0.7245,0.7589,,,,,,,,,,,,,,0
phase4,translation_impact,afroxlmr,Hausa,Hausa,test_shared,0.6494,0.6479,0.6485,0.648,0.69,0.6163,0.6377,,,,,,,,,,,,,,0
phase4,translation_impact,afroxlmr,Igbo,Igbo,test_shared,0.6068,0.611,0.6087,0.6075,0.6209,0.5795,0.6221,,,,,,,,,,,,,,0
phase4,translation_impact,afroxlmr,Yoruba,Yoruba,test_shared,0.5567,0.5606,0.5604,0.556,0.5607,0.5156,0.5917,,,,,,,,,,,,,,0
phase4,translation_impact,mbert,English,English,test_shared,0.7202,0.7196,0.7221,0.7187,0.7505,0.6571,0.7486,,,,,,,,,,,,,,0
phase4,translation_impact,mbert,Hausa,Hausa,test_shared,0.5749,0.5749,0.576,0.5751,0.5881,0.5426,0.5945,,,,,,,,,,,,,,0
phase4,translation_impact,mbert,Igbo,Igbo,test_shared,0.5536,0.5589,0.5568,0.5538,0.5578,0.525,0.5785,,,,,,,,,,,,,,0
phase4,translation_impact,mbert,Yoruba,Yoruba,test_shared,0.5665,0.5717,0.5699,0.566,0.5859,0.5192,0.5928,,,,,,,,,,,,,,0
phase4,translation_impact,xlmr,English,English,test_shared,0.7399,0.7415,0.7413,0.7377,0.7839,0.6814,0.7478,,,,,,,,,,,,,,0
phase4,translation_impact,xlmr,Hausa,Hausa,test_shared,0.5665,0.5712,0.5697,0.5658,0.5794,0.5327,0.5853,,,,,,,,,,,,,,0
phase4,translation_impact,xlmr,Igbo,Igbo,test_shared,0.5323,0.5471,0.5372,0.5306,0.5426,0.4957,0.5534,,,,,,,,,,,,,,0
phase4,translation_impact,xlmr,Yoruba,Yoruba,test_shared,0.5125,0.5177,0.5166,0.5092,0.5368,0.4395,0.5514,,,,,,,,,,,,,,0
phase4,translation_impact_singlemodel,afroxlmr_joint,all,Hausa,test_shared,0.6707,0.6698,0.6703,0.67,0.7032,0.6384,0.6683,,,,,,,,,,,,,,0
phase4,translation_impact_singlemodel,afroxlmr_joint,all,Igbo,test_shared,0.6274,0.6292,0.6284,0.6284,0.6387,0.5888,0.6577,,,,,,,,,,,,,,0
phase4,translation_impact_singlemodel,afroxlmr_joint,all,Yoruba,test_shared,0.5726,0.5758,0.5746,0.5735,0.5986,0.5144,0.6075,,,,,,,,,,,,,,0
phase4,translation_impact_singlemodel,mbert_joint,all,Hausa,test_shared,0.5932,0.5935,0.5946,0.5927,0.6142,0.5578,0.6062,,,,,,,,,,,,,,0
